John,100,100,100,100.0
Jerico,76,76,89,81.2
Juan,60,60,78,67.2
Alice,85,90,88,87.1
Mark,70,75,80,76.5
Sophia,95,90,98,95.1
Leo,60,62,70,64.4
Isabella,88,85,92,89.0
Ethan,79,82,85,82.3
Olivia,91,89,94,91.7
Daniel,65,70,72,69.2
Emma,78,76,80,78.8
James,80,85,88,84.1
Mia,93,95,96,94.7
Henry,74,73,76,74.8
John,100,100,100,100.0
Jerico,100,100,100,100.0
Doe,90,90,90,90.0
JOnan,100,90,89,92.6
JOhn,89,89,90,89.4
Joan,100,90,90,93.0
john,90,90,90,90.0
jane,90,90,90,90.0
crad,90,89,90,89.7
JOhn,90,100,100,97.0
Jerico,100,100,100,100.0
Jerico,100,100,100,100.0
Justin,89,90,100,93.7
Johm,100,100,100,100.0
Jonas,100,100,100,100.0
Jeroc,100,100,100,100.0
